Wahl, Wahlberechtigte, Fakultaet, Urne, Stimmzettel, Ungueltige Stimmzettel, Ungueltige Listenstimmen, Enthaltungen Listenstimmen, Ungueltige Kandidatenstimmen, Enthaltungen Kandidatenstimmen
FS ETEC, 1826, Info, 5, 1, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 3, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 4, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 5, 1, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mach/CIW, 7, 0, , , , , 
FS ETEC, 1826, Mach/CIW, 8, 0, , , , , 
FS ETEC, 1826, Mach/CIW, 9, 0, , , , , 
FS ETEC, 1826, Mach/CIW, 10, 0, , , , , 
FS ETEC, 1826, Mathe, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mathe, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mathe, 3, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Mathe, 4, 9, 0, 0, 0, 0, 0
FS ETEC, 1826, Mathe, 5, 11, 1, 0, 0, 0, 0
FS ETEC, 1826, Mathe, 6, 0, , , , , 
FS ETEC, 1826, Mensa, 1, 19, 1, 0, 0, 0, 0
FS ETEC, 1826, Mensa, 2, 16, 1, 0, 0, 0, 0
FS ETEC, 1826, Mensa, 3, 11, 1, 0, 0, 0, 0
FS ETEC, 1826, Mensa, 4, 11, 0, 0, 0, 0, 0
FS ETEC, 1826, Mobil, 1, 14, 0, 0, 0, 0, 0
FS ETEC, 1826, Physik, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Physik, 3, 1, 0, 0, 0, 0, 0
FS ETEC, 1826, Physik, 4, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Physik, 5, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, RZ, 1, 0, , , , , 
FS ETEC, 1826, Westhochschule, 1, 1, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 1, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 2, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 3, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 4, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 5, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 6, 0, 0, 0, 0, 0, 0
FS ETEC, 1826, Wiwi, 7, 0, , , , , 
FS ETEC, 1826, Wiwi, 8, 0, , , , , 
FS GeistSoz, 1459, AKK, 1, 10, 0, 0, 0, 0, 0
FS GeistSoz, 1459, AKK, 2, 6, 0, 0, 0, 0, 0
FS GeistSoz, 1459, Audimax, 1, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, Chemie/Bio, 1, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, Chemie/Bio, 2, 0, , , , , 
FS GeistSoz, 1459, ETEC, 1, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, ETEC, 2, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, ETEC, 3, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, ETEC, 4, 0, 0, 0, 0, 0, 0
FS GeistSoz, 1459, ETEC, 5, 0, 0, 0, 0, 0, 0
